Precio,Comuna,Dormitorios,Banos,Area Construida,Area Total,Estacionamientos
960930000,LaFlorida,4,4.0,182.0,1600.0,5.0
925340000,Santiago,5,3.0,254.0,490.0,4.0
115000000,PedroAguirreCerda,4,2.0,90.0,100.0,1.0
102641560,PuenteAlto,3,1.0,61.0,108.0,2.0
65500000,Paine,2,1.0,54.0,97.0,1.0
462670000,Peñalolén,4,3.0,140.0,260.0,2.0
72000000,PadreHurtado,3,2.0,65.0,90.0,1.0
140000000,PuenteAlto,3,3.0,92.0,172.0,4.0
252333100,SanBernardo,3,2.0,83.0,750.0,6.0
409285000,LaReina,5,4.0,150.0,250.0,2.0
115952220,SanBernardo,3,2.0,63.0,107.0,2.0
242012000,Peñalolén,3,2.0,98.0,227.0,2.0
210000000,LaFlorida,4,2.0,153.0,173.0,2.0
206422000,Buin,4,3.0,130.0,216.0,2.0
97000000,Maipu,3,3.0,79.0,106.0,2.0
295397000,LaCisterna,5,2.0,150.0,330.0,3.0
75000000,Melipilla,3,1.0,43.0,198.0,2.0
320310000,LaFlorida,4,4.0,177.0,259.0,3.0
125000000,Macul,3,1.0,81.0,160.0,3.0
105000000,LaReina,4,1.0,70.0,135.0,1.0
480465000,Colina,3,3.0,167.0,400.0,3.0
252689000,LaFlorida,4,2.0,100.0,240.0,2.0
323869000,Colina,5,4.0,139.0,330.0,2.0
373695000,SanBernardo,10,4.0,200.0,662.0,8.0
227000000,Quilicura,5,3.0,178.0,216.0,1.0
266925000,LaFlorida,3,3.0,121.0,290.0,2.0
143000000,Recoleta,4,2.0,160.0,300.0,2.0
75000000,PuenteAlto,2,1.0,56.0,80.0,2.0
69500000,Buin,2,1.0,54.0,82.0,1.0
140000000,PuenteAlto,3,2.0,90.0,110.0,1.0
907545000,LoBarnechea,5,6.0,320.0,1040.0,6.0
75000000,PadreHurtado,2,1.0,60.0,90.0,1.0
120000000,Penaflor,3,3.0,130.0,150.0,2.0
64500000,PuenteAlto,5,2.0,130.0,115.0,2.0
79000000,Estacion Central,3,2.0,80.0,160.0,1.0
240000000,Santiago,5,3.0,190.0,250.0,1.0
88000000,Pudahuel,3,2.0,65.0,90.0,2.0
74000000,Maipu,4,2.0,50.0,69.0,1.0
448434000,LaReina,3,2.0,228.0,451.0,3.0
240232500,Buin,4,3.0,119.0,220.0,2.0
130000000,Lampa,3,1.0,85.0,180.0,3.0
273000000,Peñalolén,4,2.0,250.0,500.0,4.0
180000000,LoPrado,8,8.0,139.0,282.0,3.0
